<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.07	16:40:00	3011.01	3013.85	3008.87	3012.15	120	0	16
2025.04.07	16:41:00	3012.14	3013.05	3010.11	3011.15	114	0	13
2025.04.07	16:42:00	3011.08	3011.08	3004.53	3005.57	118	0	16
2025.04.07	16:43:00	3005.31	3005.31	3001.73	3003.94	121	0	17
2025.04.07	16:44:00	3003.77	3007.27	3003.17	3006.85	117	0	16
2025.04.07	16:45:00	3006.73	3011.12	3006.73	3008.35	117	0	17
2025.04.07	16:46:00	3008.37	3008.53	3004.66	3006.73	119	0	17
2025.04.07	16:47:00	3006.91	3007.07	3004.35	3005.35	117	0	17
2025.04.07	16:48:00	3005.38	3006.81	3004.05	3005.05	112	0	17
2025.04.07	16:49:00	3004.87	3007.73	3004.66	3007.07	115	0	17
2025.04.07	16:50:00	3006.92	3010.22	3006.43	3008.34	110	0	17
2025.04.07	16:51:00	3008.59	3010.45	3007.39	3007.39	118	0	17
2025.04.07	16:52:00	3007.07	3010.05	3006.80	3009.39	114	0	13
2025.04.07	16:53:00	3009.51	3011.08	3009.27	3009.61	114	0	15
2025.04.07	16:54:00	3009.38	3010.22	3008.26	3010.17	107	0	17
2025.04.07	16:55:00	3010.27	3012.80	3009.48	3010.38	120	0	7
2025.04.07	16:56:00	3010.67	3014.44	3010.67	3013.85	110	0	14
2025.04.07	16:57:00	3013.71	3016.13	3013.71	3015.67	110	0	16
2025.04.07	16:58:00	3015.83	3019.04	3015.34	3019.04	116	0	15
2025.04.07	16:59:00	3019.03	3019.11	3015.32	3015.37	119	0	16
2025.04.07	17:00:00	3014.84	3017.38	3014.28	3015.92	116	0	15
2025.04.07	17:01:00	3016.14	3016.17	3012.08	3013.14	117	0	17
2025.04.07	17:02:00	3013.41	3015.15	3012.92	3013.05	119	0	17
2025.04.07	17:03:00	3013.22	3014.82	3011.06	3012.95	116	0	17
2025.04.07	17:04:00	3012.94	3016.13	3012.50	3014.14	112	0	17
2025.04.07	17:05:00	3014.12	3016.77	3013.39	3016.23	115	0	14
2025.04.07	17:06:00	3016.05	3019.59	3015.95	3019.50	114	0	17
2025.04.07	17:07:00	3019.38	3019.38	3016.76	3017.94	107	0	17
2025.04.07	17:08:00	3018.06	3019.15	3017.25	3017.83	116	0	17
2025.04.07	17:09:00	3017.93	3019.01	3015.36	3015.36	114	0	12
2025.04.07	17:10:00	3015.42	3019.88	3014.65	3018.14	116	0	10
2025.04.07	17:11:00	3018.37	3027.15	3018.20	3025.39	125	0	17
2025.04.07	17:12:00	3025.38	3029.49	3023.66	3029.15	126	0	17
2025.04.07	17:13:00	3029.03	3030.89	3025.64	3030.89	129	0	17
2025.04.07	17:14:00	3030.53	3032.25	3025.73	3026.53	127	0	17
2025.04.07	17:15:00	3027.16	3035.06	3026.37	3033.79	135	0	17
2025.04.07	17:16:00	3034.24	3036.65	3032.31	3036.33	121	0	17
2025.04.07	17:17:00	3036.64	3037.59	3035.01	3037.46	123	0	8
2025.04.07	17:18:00	3037.71	3037.97	3029.33	3029.33	127	0	17
2025.04.07	17:19:00	3029.50	3031.08	3026.44	3028.04	124	0	17
2025.04.07	17:20:00	3028.35	3029.98	3026.96	3027.62	118	0	17
2025.04.07	17:21:00	3027.30	3029.44	3026.97	3028.79	120	0	17
2025.04.07	17:22:00	3026.38	3027.01	3018.39	3023.09	130	0	5
2025.04.07	17:23:00	3023.18	3025.89	3021.43	3022.18	135	0	17
2025.04.07	17:24:00	3021.57	3022.58	3015.35	3017.84	131	0	17
2025.04.07	17:25:00	3017.67	3018.71	3014.51	3016.70	137	0	17
2025.04.07	17:26:00	3016.70	3017.08	3012.94	3013.50	128	0	17
2025.04.07	17:27:00	3013.32	3015.33	3007.65	3009.05	121	0	17
2025.04.07	17:28:00	3009.66	3009.93	3004.99	3006.39	124	0	17
2025.04.07	17:29:00	3006.30	3010.72	3006.12	3008.86	121	0	17
2025.04.07	17:30:00	3007.82	3009.59	3005.33	3007.94	124	0	17
2025.04.07	17:31:00	3007.62	3010.06	3007.06	3008.45	120	0	17
2025.04.07	17:32:00	3008.96	3013.22	3008.95	3012.78	120	0	17
2025.04.07	17:33:00	3012.78	3013.65	3006.75	3008.12	123	0	17
2025.04.07	17:34:00	3008.72	3010.44	3004.99	3006.01	126	0	17
2025.04.07	17:35:00	3005.07	3007.69	3004.38	3006.25	125	0	18
2025.04.07	17:36:00	3005.94	3006.87	3000.50	3003.16	128	0	17
2025.04.07	17:37:00	3002.83	3004.32	2998.56	3002.40	124	0	17
2025.04.07	17:38:00	3002.40	3003.15	2999.36	2999.46	119	0	17
2025.04.07	17:39:00	2999.45	3000.01	2996.91	2998.08	117	0	18
2025.04.07	17:40:00	2998.38	3001.34	2997.92	2999.61	121	0	17
2025.04.07	17:41:00	2999.60	3001.67	2999.23	2999.52	119	0	17
2025.04.07	17:42:00	2999.26	3001.51	2998.67	3000.49	121	0	9
2025.04.07	17:43:00	3000.79	3001.46	2999.54	3000.25	110	0	16
2025.04.07	17:44:00	3000.33	3004.32	3000.02	3003.07	116	0	17
2025.04.07	17:45:00	3003.29	3009.67	3002.13	3006.91	122	0	17
2025.04.07	17:46:00	3006.95	3008.07	3004.84	3005.73	118	0	17
2025.04.07	17:47:00	3005.80	3006.09	3002.73	3003.34	108	0	17
2025.04.07	17:48:00	3003.17	3004.72	3003.17	3004.18	105	0	17
2025.04.07	17:49:00	3004.76	3006.94	3001.37	3002.35	101	0	16
2025.04.07	17:50:00	3001.84	3004.52	3000.33	3004.52	114	0	16
2025.04.07	17:51:00	3004.51	3006.19	3002.79	3003.93	118	0	17
2025.04.07	17:52:00	3004.31	3006.12	2996.76	2997.65	122	0	17
2025.04.07	17:53:00	2997.43	3001.37	2996.20	3001.17	130	0	17
2025.04.07	17:54:00	3000.81	3001.19	2997.93	2999.96	121	0	17
2025.04.07	17:55:00	3000.11	3002.23	2999.89	3002.13	110	0	17
